80 material,,
µi,Br,Hc
600,500,0.4
Frequency(Hz),µ',µ''
6.61E+07,-14.504797743,35.843279654
6.76E+07,-14.100806068,34.754665514
6.92E+07,-13.698008826,33.720008892
7.08E+07,-13.297688045,32.690128748
7.24E+07,-12.907280137,31.693504437
7.41E+07,-12.527247565,30.753460175
7.59E+07,-12.146163731,29.816182655
7.76E+07,-11.800407268,28.920203375
7.94E+07,-11.435349575,28.040941151
8.13E+07,-11.077372077,27.214038551
8.32E+07,-10.750828318,26.395077632
8.51E+07,-10.419570715,25.60676388
8.71E+07,-10.095056368,24.839841833
8.91E+07,-9.790459248,24.100386602
9.12E+07,-9.480485647,23.393711184
9.33E+07,-9.179966322,22.699783861
9.55E+07,-8.897451637,22.029329471
9.77E+07,-8.612714327,21.375502283
1.00E+08,-8.338432873,20.747976304
