51 material,,
µi,Br,Hc
350,2300,0.6
Frequency(Hz),µ',µ''
10000,373.3747168,4.750611522
50000,366.7925898,3.032995553
100000,366.8328187,2.477040361
300000,363.7830818,2.951209227
500000,365.0058821,3.548133892
1000000,368.67,4.8
1320000,370.49,6.165950019
1750000,373.15,8.28
1870000,374.79,9.16
2020000,376.55,9.87
2160000,378.77,10.99
2310000,380.65,12.49
2480000,383.55,14.1
2670000,387.28,17.36
2860000,390.99,20.6
3050000,395.18,24.11
3270000,399.67,29.57
3530000,404.46,37.73
3780000,407.95,46.02
4040000,410.66,56.27
4330000,411.77,67.72
4660000,411.23,81.82
5000000,408.32,95.45
5340000,404.08,108.44
5720000,396.25,121.97
6170000,386.38,135.51
6610000,375.44,146.68
7050000,363.91,155.83
7560000,350.67,163.81
8170000,335.64,171.04
8780000,321.21,176.28
9390000,308.44,180.06
10000000,296.43,182.25
10700000,283.28,184.16
11600000,269.84,185.56
12400000,257.5,186.13
13200000,246.33,186.19
14200000,234.75,185.92
15300000,222.23,185.27
16400000,210.84,184.15
17500000,200.49,183.03
18700000,189.59,181.05
20200000,178.28,178.66
21600000,167.99,176.2
23100000,158.5,173.53
24800000,148.84,170.35
26700000,138.65,166.74
28600000,129.28,163.09
30500000,121.28,159.4
32700000,112.73,155.27
35300000,104.04,150.68
37800000,96.17,146.25
40400000,89.36,141.8
43300000,82.47,136.99
46600000,75.4,131.94
50000000,69.31,127.11
53400000,63.93,122.59
57200000,58.55,117.88
61700000,53.07,112.73
66100000,48.23,108.09
70500000,44.08,103.74
75600000,39.9,99.15
81700000,35.54,94.21
87800000,31.82,89.69
93900000,28.54,85.61
100000000,25.77,81.8
107000000,22.84,77.72
116000000,19.96,73.46
124000000,17.54,69.61
132000000,15.45,66.18
142000000,13.31,62.56
153000000,11.38,58.87
164000000,9.67,55.57
175000000,8.21,52.53
187000000,6.82,49.44
202000000,5.46,46.33
216000000,4.37,43.53
231000000,3.5,41.08
248000000,2.57,38.52
267000000,1.74,35.99
286000000,1.09,33.66
305000000,0.52,31.7
327000000,-0.02,29.66
353000000,-0.49,27.63
378000000,-0.89,25.87
404000000,-1.2,24.3
433000000,-1.51,22.74
466000000,-1.82,21.23
500000000,-2.01,19.83
534000000,-2.13,18.66
572000000,-2.31,17.47
617000000,-2.42,16.28
661000000,-2.51,15.3
705000000,-2.61,14.43
756000000,-2.66,13.56
817000000,-2.72,12.7
878000000,-2.75,11.97
939000000,-2.77,11.34
1000000000,-2.78,10.82
