77 material,,
µi,Br,Hc
2000,1800,0.25
Frequency(Hz),µ',µ''
1.00E+04,1989,14
1.00E+05,2001,37
3.00E+05,2045,109
5.00E+05,2142,250
7.00E+05,2193,519
9.00E+05,2097,791
1.00E+06,2074,946
1.17E+06,1892,1099
1.36E+06,1668,1212
1.58E+06,1423,1275
1.84E+06,1174,1286
2.15E+06,944,1254
2.50E+06,738,1193
2.92E+06,560,1113
3.40E+06,407,1020
3.96E+06,278,920
4.62E+06,171,815
5.38E+06,88,708
6.27E+06,27,603
7.31E+06,-11,506
8.51E+06,-31,419
9.92E+06,-40,346
1.16E+07,-41,286
1.35E+07,-41,237
1.57E+07,-39,197
1.83E+07,-36,163
2.13E+07,-33,135
2.48E+07,-29,111
2.89E+07,-26,92
3.37E+07,-22,76
3.93E+07,-19,62
4.58E+07,-16,51
5.34E+07,-13,42
6.22E+07,-11,35
7.25E+07,-9,29
8.44E+07,-8,24
9.84E+07,-6,20
1.15E+08,-5,17
1.34E+08,-4,14
1.56E+08,-3,12
1.81E+08,-3,10
2.11E+08,-2,8
2.46E+08,-2,7
2.87E+08,-1,6
3.35E+08,-1,5
3.90E+08,-1,4
4.54E+08,-1,4
5.29E+08,-1,3
6.17E+08,0,3
7.19E+08,0,2
8.38E+08,0,2
9.76E+08,0,2
1.14E+09,1,2
1.33E+09,1,2
1.54E+09,2,2
1.80E+09,3,2
