20 material,,
µi,Br,Hc
2300,1800,0.18
Frequency(Hz),µ',µ''
1.00E+04,2409.9,26.5
1.00E+05,2397.6,56.5
3.00E+05,2485.0,172.9
5.00E+05,2609.2,503.9
6.67E+05,2493.9,867.5
9.60E+05,2054.5,1120.0
1.00E+06,1996.5,1120.0
1.02E+06,2003.5,1106.5
1.04E+06,1943.5,1128.5
1.08E+06,1886.1,1145.9
1.13E+06,1828.6,1160.9
1.17E+06,1770.7,1172.1
1.22E+06,1714.9,1180.6
1.27E+06,1657.8,1188.3
1.32E+06,1603.8,1188.0
1.38E+06,1550.1,1190.8
1.43E+06,1495.7,1187.7
1.49E+06,1445.0,1184.3
1.55E+06,1394.4,1179.5
1.62E+06,1345.1,1171.4
1.68E+06,1299.6,1162.3
1.75E+06,1253.0,1151.9
1.82E+06,1209.7,1140.1
1.90E+06,1167.2,1128.2
1.97E+06,1125.6,1115.2
2.06E+06,1086.3,1100.9
2.14E+06,1048.3,1085.7
2.23E+06,1012.2,1070.6
2.32E+06,976.8,1054.8
2.41E+06,942.9,1039.2
2.51E+06,910.4,1023.3
2.61E+06,878.3,1007.0
2.72E+06,847.5,990.7
2.83E+06,818.0,974.3
2.95E+06,790.0,958.0
3.07E+06,762.3,940.8
3.19E+06,735.3,924.3
3.32E+06,709.3,908.3
3.46E+06,684.0,892.2
3.60E+06,659.5,875.8
3.75E+06,636.0,859.8
3.90E+06,613.1,843.7
4.06E+06,590.9,827.8
4.23E+06,569.2,812.1
4.40E+06,548.1,796.5
4.58E+06,527.8,781.0
4.76E+06,507.9,765.2
4.96E+06,488.3,749.8
5.16E+06,469.6,734.9
5.37E+06,451.4,719.7
5.59E+06,433.6,704.6
5.82E+06,416.3,689.8
6.06E+06,399.7,674.9
6.31E+06,383.2,660.3
6.56E+06,367.4,645.9
6.83E+06,352.2,631.4
7110000,337.3,617.3
7400000,322.9,603.2
7700000,309.2,589.2
8020000,295.5,575.2
8350000,282.4,561.7
8690000,269.5,548.2
9040000,257.4,534.7
9410000,245.6,521.4
9790000,234.2,508.4
10200000,223.1,495.6
10600000,212.5,482.9
11000000,202.1,470.3
11500000,192.2,458.0
12000000,182.7,445.7
12500000,173.3,433.7
13000000,164.4,421.9
13500000,155.9,410.1
14000000,147.8,398.6
14600000,139.9,387.3
15200000,132.4,376.2
15800000,125.1,365.3
16500000,118.1,354.4
17200000,111.5,343.8
17900000,105.3,333.4
18600000,99.2,323.2
19300000,93.5,313.2
20100000,88.0,303.4
21000000,82.8,293.8
21800000,77.9,284.4
22700000,73.3,275.2
23600000,68.8,266.2
24600000,64.6,257.5
25600000,60.7,249.0
26600000,57.0,240.7
27700000,53.5,232.5
28900000,50.1,224.6
30000000,46.9,217.0
31300000,44.0,209.5
32500000,41.3,202.2
33900000,38.7,195.2
35300000,36.3,188.3
36700000,33.9,181.7
38200000,31.8,175.3
39800000,29.8,169.1
41400000,27.9,163.1
43100000,26.1,157.3
44800000,24.4,151.6
46700000,22.9,146.2
48600000,21.5,140.9
50600000,20.1,135.8
52600000,18.8,130.9
54800000,17.6,126.1
57000000,16.5,121.6
59300000,15.4,117.1
61800000,14.4,112.9
64300000,13.5,108.8
66900000,12.6,104.8
69600000,11.8,101.0
72500000,11.0,97.3
75400000,10.3,93.7
78500000,9.5,90.3
81700000,8.9,87.0
85100000,8.3,83.8
88500000,7.7,80.7
92200000,7.2,77.8
95900000,6.7,74.9
99800000,6.2,72.2
104000000,5.7,69.5
108000000,5.3,67.0
113000000,4.9,64.5
117000000,4.5,62.1
122000000,4.1,59.8
127000000,3.8,57.6
132000000,3.5,55.5
138000000,3.1,53.5
143000000,2.8,51.5
149000000,2.6,49.6
155000000,2.3,47.8
161000000,2.1,46.0
168000000,1.8,44.4
175000000,1.6,42.7
182000000,1.4,41.2
189000000,1.2,39.7
197000000,1.0,38.2
205000000,0.8,36.8
214000000,0.6,35.5
222000000,0.4,34.2
231000000,0.3,32.9
241000000,0.1,31.7
251000000,0.0,30.5
