31 material,,
µi,Br,Hc
1500,2600,0.34
Frequency(Hz),µ',µ''
1.00E+04,1423.52,10.45
5.00E+04,1406.98,27.02
1.00E+05,1401.93,41.61
1.50E+05,1379.45,57.82
2.00E+05,1386.57,72.67
2.50E+05,1385.58,89.60
3.00E+05,1387.50,106.76
3.33E+05,1388.08,119.00
4.00E+05,1388.37,141.03
4.80E+05,1391.60,173.33
5.00E+05,1390.55,183.07
6.00E+05,1396.46,228.68
6.40E+05,1392.65,248.07
6.67E+05,1390.14,260.16
8.00E+05,1463.65,345.99
9.60E+05,1409.68,444.47
1.00E+06,1400.65,463.22
2.00E+06,980.76,734.77
2.33E+06,854.67,752.33
2.68E+06,757.67,728.33
3.09E+06,668.67,696.33
3.56E+06,590.00,657.67
4.09E+06,520.67,616.00
4.71E+06,460.33,571.33
5.43E+06,409.00,527.00
6.25E+06,365.67,484.33
7.20E+06,3.29E+02,444.33
8.29E+06,2.99E+02,408.33
9.54E+06,2.72E+02,375.33
1.10E+07,2.48E+02,346.67
1.26E+07,2.27E+02,321.67
1.46E+07,2.06E+02,299.00
1.68E+07,1.87E+02,278.67
1.93E+07,1.68E+02,260.00
2.22E+07,149.6666667,242.3333333
2.56E+07,132.3333333,226.3333333
2.95E+07,115.6666667,210.3333333
3.39E+07,100.7,195
3.91E+07,86.2,180
4.50E+07,73.33333333,165.3333333
5.18E+07,61.8,151.6666667
5.96E+07,51.26666667,138.6666667
6.87E+07,43,130
7.56E+07,39.06,125
1.24E+08,1.47E+01,8.65E+01
2.16E+08,1.61E+00,5.21E+01
3.53E+08,0.00E+00,3.21E+01
6.17E+08,0.00E+00,1.87E+01
1.00E+09,0.00E+00,1.25E+01
