46 material,,
µi,Br,Hc
500,1680,0.53
Frequency(Hz),µ',µ''
1.00E+04,524.7,7.0
1.00E+05,514.9,7.1
2.00E+05,513.6,7.5
3.00E+05,512.8,8.0
4.00E+05,512.7,8.9
5.00E+05,512.9,9.9
6.00E+05,513.5,10.9
8.00E+05,515.7,13.2
1.00E+06,519.2,18.2
1.17E+06,525.4,21.9
1.36E+06,534.5,28.3
1.58E+06,546.5,39.8
1.84E+06,559.4,62.0
2.15E+06,567.2,96.6
2.50E+06,562.0,142.3
2.92E+06,541.2,189.5
3.40E+06,504.8,231.3
3.96E+06,458.0,260.9
4.62E+06,406.6,276.0
5.38E+06,357.3,278.3
6.27E+06,313.0,272.3
7.31E+06,274.5,261.1
8.51E+06,241.1,247.6
9.92E+06,212.3,232.7
1.16E+07,187.0,217.3
1.35E+07,165.1,202.2
1.57E+07,146.1,187.4
1.83E+07,129.4,173.5
2.13E+07,114.7,160.6
2.48E+07,101.4,148.8
2.89E+07,89.2,138.0
3.37E+07,78.2,127.9
3.93E+07,67.6,118.3
4.58E+07,57.9,109.1
5.34E+07,48.9,100.4
6.22E+07,40.7,91.9
7.25E+07,33.3,83.8
8.44E+07,26.5,75.9
9.84E+07,20.6,68.2
1.15E+08,15.6,60.7
1.34E+08,11.5,53.6
1.56E+08,8.3,47.1
1.81E+08,5.8,41.1
2.11E+08,3.8,35.7
2.46E+08,2.4,31.0
2.87E+08,1.2,26.8
3.35E+08,0.4,23.2
3.90E+08,-0.3,20.0
4.54E+08,-0.7,17.2
5.29E+08,-1.0,14.9
6.17E+08,-1.3,12.9
7.19E+08,-1.5,11.3
8.38E+08,-1.7,9.8
9.76E+08,-1.9,8.7
1.14E+09,-2.2,7.7
1.33E+09,-2.4,6.9
1.54E+09,-2.8,6.4
1.80E+09,-3.5,6.1
