68 material,,
µi,Br,Hc
16,1000,7
Frequency(Hz),µ',µ''
1000000,14.92,0.18
1040000,14.85,0.17
1080000,14.89,0.17
1130000,14.79,0.17
1170000,14.94,0.17
1220000,14.85,0.17
1270000,14.99,0.16
1320000,14.97,0.16
1380000,14.96,0.15
1430000,14.97,0.15
1490000,14.98,0.16
1550000,14.96,0.16
1620000,14.96,0.17
1680000,14.93,0.17
1750000,14.93,0.16
1820000,14.92,0.16
1900000,14.96,0.16
1970000,14.98,0.16
2060000,14.98,0.16
2140000,14.97,0.16
2230000,14.99,0.16
2320000,15.01,0.16
2410000,14.99,0.15
2510000,14.99,0.15
2610000,14.98,0.15
2720000,15.02,0.15
2830000,15.03,0.15
2950000,15.04,0.15
3070000,15.04,0.15
3190000,15.02,0.15
3320000,15.04,0.15
3460000,15.07,0.14
3600000,15.09,0.14
3750000,15.05,0.14
3900000,15.05,0.14
4060000,15.06,0.14
4230000,15.08,0.14
4400000,15.07,0.14
4580000,15.07,0.14
4760000,15.08,0.14
4960000,15.09,0.13
5160000,15.09,0.13
5370000,15.1,0.13
5590000,15.1,0.13
5820000,15.09,0.13
6060000,15.11,0.12
6310000,15.11,0.12
6560000,15.1,0.12
6830000,15.12,0.12
7110000,15.12,0.12
7400000,15.13,0.12
7700000,15.13,0.12
8020000,15.15,0.12
8350000,15.15,0.12
8690000,15.15,0.12
9040000,15.15,0.12
9410000,15.16,0.12
9790000,15.16,0.12
10200000,15.16,0.12
10700000,15.19,0.12
11100000,15.19,0.12
11500000,15.18,0.12
11900000,15.19,0.12
12300000,15.18,0.12
12800000,15.19,0.12
13400000,15.2,0.12
13900000,15.21,0.12
14400000,15.2,0.12
15000000,15.2,0.12
15500000,15.2,0.12
16000000,15.2,0.12
16600000,15.21,0.12
17300000,15.22,0.12
18000000,15.22,0.11
18700000,15.23,0.11
19400000,15.23,0.11
20100000,15.23,0.11
20800000,15.24,0.11
21600000,15.24,0.11
22500000,15.24,0.11
23400000,15.25,0.11
24300000,15.25,0.11
25200000,15.25,0.11
26200000,15.26,0.11
27100000,15.27,0.11
28100000,15.26,0.11
29300000,15.26,0.11
30500000,15.28,0.11
31700000,15.28,0.11
32900000,15.29,0.11
34100000,15.3,0.11
35300000,15.31,0.1
36500000,15.3,0.1
37900000,15.3,0.1
39500000,15.31,0.1
41100000,15.32,0.1
42700000,15.33,0.1
44300000,15.34,0.1
45900000,15.35,0.1
47500000,15.36,0.1
49300000,15.37,0.1
51400000,15.38,0.1
53500000,15.39,0.1
55600000,15.41,0.1
57700000,15.42,0.1
59800000,15.44,0.1
62000000,15.46,0.1
64100000,15.47,0.1
66500000,15.49,0.1
69300000,15.52,0.1
72100000,15.54,0.1
74900000,15.57,0.1
77700000,15.59,0.1
80500000,15.62,0.1
83300000,15.65,0.1
86500000,15.69,0.1
90100000,15.73,0.1
93700000,15.78,0.1
97400000,15.81,0.1
101000000,15.87,0.1
105000000,15.93,0.1
108000000,15.98,0.1
112000000,16.04,0.1
117000000,16.12,0.11
122000000,16.2,0.11
127000000,16.29,0.11
132000000,16.39,0.11
137000000,16.49,0.12
141000000,16.58,0.13
146000000,16.68,0.13
152000000,16.86,0.14
158000000,17.03,0.15
164000000,17.21,0.18
171000000,17.42,0.19
177000000,17.65,0.23
184000000,17.9,0.26
190000000,18.18,0.3
197000000,18.54,0.37
206000000,19.03,0.49
214000000,19.6,0.65
223000000,20.28,0.9
231000000,21.03,1.33
239000000,21.72,2.01
248000000,22.26,2.89
256000000,22.55,3.85
266000000,22.6,5.03
277000000,22.27,6.29
289000000,21.63,7.35
300000000,20.88,8.17
311000000,20.07,8.8
322000000,19.31,9.27
333000000,18.58,9.61
346000000,17.83,9.91
361000000,17.06,10.18
375000000,16.38,10.37
390000000,15.76,10.56
404000000,15.19,10.66
419000000,14.68,10.79
433000000,14.19,10.89
450000000,13.69,10.99
469000000,13.11,11.18
488000000,12.55,11.21
508000000,12.08,11.3
527000000,11.64,11.39
546000000,11.17,11.5
565000000,10.72,11.57
585000000,10.32,11.61
607000000,9.88,11.69
633000000,9.35,11.79
658000000,8.85,11.87
684000000,8.36,11.95
709000000,7.86,12.01
735000000,7.4,12.05
760000000,6.97,12.11
789000000,6.49,12.18
823000000,5.88,12.18
857000000,5.32,12.26
891000000,4.79,12.27
924000000,4.25,12.31
958000000,3.72,12.32
992000000,3.19,12.34
1030000000,2.7,12.31
1070000000,2.13,12.3
1110000000,1.43,12.25
1150000000,0.79,12.26
1200000000,0.17,12.17
