76 material,,
µi,Br,Hc
10000,1800,0.12
Frequency(Hz),µ',µ''
1000,10645.61329,253.8522685
2000,10615.71374,226.0747396
3000,10600.45589,240.9282127
4000,10588.20587,269.6801126
8000,10566.96107,420.349094
10000,10562.5965,501.445173
12000,10550.35037,580.2515214
15000,10534.29097,703.3803036
20000,10511.85812,910.4255795
25000,10483.33334,1120.160081
30000,10455.56881,1332.712557
40000,10381.68452,1775.319798
50000,10272.91846,2241.361057
60000,10106.18825,2719.669497
75000,9714.592669,3410.379398
80000,9554.000226,3618.924173
96000,8914.621519,4304.314958
100000,8809.172425,4315.378394
150000,6859.025888,5129.340093
200000,5356.500531,5172.351104
300000,3466.609125,4575.540229
400000,2509.424206,3898.793881
500000,1981.993178,3374.311374
600000,1653.797436,2983.652362
800000,1259.898045,2453.708145
960000,1061.944358,2168.656096
1000000,1039.715748,2103.253942
1137137,921.7311193,1931.019032
1274275,830.2729182,1787.888687
1438450,736.042665,1647.756566
1623777,651.3969757,1514.220113
1832981,577.6131993,1390.888565
2084351,501.6489678,1270.263401
2335721,445.4367795,1169.777094
2636651,389.4271572,1067.609907
2976351,340.9496771,974.7866268
3359818,297.7789276,888.0467424
3792690,260.1573457,806.9373146
4281332,226.2411967,733.8969145
4868464,196.0134171,660.3337781
5455595,172.718377,601.248498
6158482,149.0430749,543.0100689
6951928,129.7450461,490.6242343
7847600,112.9423586,442.3247184
8923800,97.93821738,394.9924842
10000000,86.56382404,356.844963
